station,hour,avg_dropoff_count
"Alderney Street, Pimlico",16,3.1163522012578615
"Alderney Street, Pimlico",17,3.7570093457943927
"Alderney Street, Pimlico",18,3.7662337662337664
"Alderney Street, Pimlico",19,3.0860927152317883
"Alderney Street, Pimlico",20,2.3821138211382116
"Alderney Street, Pimlico",21,2.2334801762114536
"Alderney Street, Pimlico",22,2.053921568627451
"Alderney Street, Pimlico",23,1.625
"Aldersgate Street, Barbican",0,1.4193548387096775
"Aldersgate Street, Barbican",1,1.3484848484848484
"Aldersgate Street, Barbican",2,1.2592592592592593
"Aldersgate Street, Barbican",3,1.4444444444444444
"Aldersgate Street, Barbican",4,1.1818181818181819
"Aldersgate Street, Barbican",5,1.03125
"Aldersgate Street, Barbican",6,3.6406926406926408
"Aldersgate Street, Barbican",7,4.886274509803922
"Aldersgate Street, Barbican",8,7.43956043956044
"Aldersgate Street, Barbican",9,5.359375
"Aldersgate Street, Barbican",10,2.9701986754966887
"Aldersgate Street, Barbican",11,2.5723905723905722
"Aldersgate Street, Barbican",12,2.7012987012987013
"Aldersgate Street, Barbican",13,2.7655172413793103
"Aldersgate Street, Barbican",14,2.7317880794701987
"Aldersgate Street, Barbican",15,2.654485049833887
"Aldersgate Street, Barbican",16,2.902684563758389
"Aldersgate Street, Barbican",17,4.753246753246753
"Aldersgate Street, Barbican",18,5.213836477987422
"Aldersgate Street, Barbican",19,3.3554006968641117
"Aldersgate Street, Barbican",20,2.332
"Aldersgate Street, Barbican",21,1.898989898989899
"Aldersgate Street, Barbican",22,1.920353982300885
"Aldersgate Street, Barbican",23,1.5471698113207548
"Alfreda Street, Battersea Park",0,1.3608247422680413
"Alfreda Street, Battersea Park",1,1.5185185185185186
"Alfreda Street, Battersea Park",2,1.575
"Alfreda Street, Battersea Park",3,1.1071428571428572
"Alfreda Street, Battersea Park",4,1.5
"Alfreda Street, Battersea Park",5,1.263157894736842
"Alfreda Street, Battersea Park",6,1.1290322580645162
"Alfreda Street, Battersea Park",7,1.2790697674418605
"Alfreda Street, Battersea Park",8,1.4809160305343512
"Alfreda Street, Battersea Park",9,1.4409937888198758
"Alfreda Street, Battersea Park",10,1.5040650406504066
"Alfreda Street, Battersea Park",11,1.6464088397790055
"Alfreda Street, Battersea Park",12,1.8153846153846154
"Alfreda Street, Battersea Park",13,1.8724489795918366
"Alfreda Street, Battersea Park",14,1.9151785714285714
"Alfreda Street, Battersea Park",15,1.8602941176470589
"Alfreda Street, Battersea Park",16,2.2785714285714285
"Alfreda Street, Battersea Park",17,2.769230769230769
"Alfreda Street, Battersea Park",18,3.3274021352313166
"Alfreda Street, Battersea Park",19,3.082437275985663
"Alfreda Street, Battersea Park",20,2.4285714285714284
"Alfreda Street, Battersea Park",21,1.7912621359223302
"Alfreda Street, Battersea Park",22,1.8444444444444446
"Alfreda Street, Battersea Park",23,1.643939393939394
"All Saints Church, Portobello",0,1.3737373737373737
"All Saints Church, Portobello",1,1.1857142857142857
"All Saints Church, Portobello",2,1.152542372881356
"All Saints Church, Portobello",3,1.0
"All Saints Church, Portobello",4,1.0
"All Saints Church, Portobello",5,1.0689655172413792
"All Saints Church, Portobello",6,1.1296296296296295
"All Saints Church, Portobello",7,1.6137566137566137
"All Saints Church, Portobello",8,2.2817460317460316
"All Saints Church, Portobello",9,2.188888888888889
"All Saints Church, Portobello",10,2.2958333333333334
"All Saints Church, Portobello",11,2.5371900826446283
"All Saints Church, Portobello",12,2.7701149425287355
"All Saints Church, Portobello",13,2.8231046931407944
"All Saints Church, Portobello",14,2.606177606177606
"All Saints Church, Portobello",15,2.6881720430107525
